,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,photo_url
711,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.1kg,621.45,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
712,Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.90kg,450.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
713,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.18kg,795.0,https://www.laptopoutlet.co.uk/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/4/5454_112.jpg
714,Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg,999.0,https://static-ecpa.acer.com/media/catalog/product/cache/7/small_image/300x/17f82f742ffe127f42dca9de82fb58b1/p/r/predator-helios300-ph317-51_main.png
715,Lenovo,ThinkPad P51s,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Nvidia Quadro M520M,Windows 7,2.18kg,1855.0,http://lab-kuzniewski.pl/wp-content/uploads/2018/08/lenovo-laptop-thinkpad-x1-extreme-hero.png
716,Lenovo,Thinkpad T460p,Notebook,14.0,Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.8kg,1191.0,https://www.pclaptops.com/uploads/sm5newsite643792114.png
717,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5GHz,6GB,2TB HDD,AMD Radeon 530,Windows 10,2.71kg,655.01,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05975535.png
718,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,1249.0,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
719,Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Linux,1.64kg,1089.0,https://www.pclaptops.com/uploads/sm5newsite643792114.png
720,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Linux,1.98kg,726.0,https://static-ecpa.acer.com/media/catalog/product/cache/7/small_image/300x/17f82f742ffe127f42dca9de82fb58b1/p/r/predator-helios300-ph317-51_main.png
721,Asus,VivoBook E403NA,Notebook,14.0,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,298.0,https://www.notebookcheck.net/uploads/tx_jppageteaser/Toshiba_updates_the_Satellite_P_Series_with_Haswell_processors_and_NVIDIA_discrete_graphics_01.jpg
722,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.93kg,1426.66,https://www.notebook.hu/notebook.hu/default/cache/images/product/800_600/y/o/yoga260_1.jpg
723,Lenovo,Thinkpad E470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 920MX,Windows 10,1.87kg,857.07,https://dustinweb.azureedge.net/image/249985/400/320/lenovo-legion-y520-gtx-1050-ti.jpg
724,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.9kg,1179.0,https://www.notebookcheck.net/uploads/tx_jppageteaser/Toshiba_updates_the_Satellite_P_Series_with_Haswell_processors_and_NVIDIA_discrete_graphics_01.jpg
725,Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,1366x768,AMD A6-Series 7310 2GHz,4GB,500GB HDD,AMD Radeon R4,Windows 10,2.19kg,298.0,https://www.notebookcheck.net/uploads/tx_jppageteaser/Toshiba_updates_the_Satellite_P_Series_with_Haswell_processors_and_NVIDIA_discrete_graphics_01.jpg
726,Mediacom,Smartbook 142,Notebook,14.0,IPS Panel Full HD 1920x1200,Intel Atom Z8350 1.92GHz,4GB,32GB HDD,Intel HD Graphics 400,Windows 10,1.4kg,265.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
727,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.63kg,1200.0,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05975535.png
728,Lenovo,ThinkPad X1,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,Intel HD Graphics 520,Windows 10,1.17kg,1686.64,https://www.laptopoutlet.co.uk/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/4/5454_112.jpg
729,HP,Pavilion X360,2 in 1 Convertible,13.3,IPS Panel Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.58kg,836.6,http://lab-kuzniewski.pl/wp-content/uploads/2018/08/lenovo-laptop-thinkpad-x1-extreme-hero.png
730,Lenovo,ThinkPad T470s,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.32kg,1499.0,https://www.notebookcheck.net/uploads/tx_jppageteaser/Toshiba_updates_the_Satellite_P_Series_with_Haswell_processors_and_NVIDIA_discrete_graphics_01.jpg
731,Dell,Alienware 17,Gaming,17.3,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.36kg,3659.4,https://www.pclaptops.com/uploads/sm5newsite643792114.png
732,MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,1348.48,https://currys-ssl.cdn.dixons.com/css/themes/ucms/category/laptop/img/2018/Lenovo-3.png
733,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,No OS,1.9kg,489.9,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
734,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.2kg,719.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
735,Dell,Inspiron 5378,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.71kg,649.0,https://currys-ssl.cdn.dixons.com/css/themes/ucms/category/laptop/img/2018/Lenovo-3.png
736,Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,Linux,2.32kg,589.52,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
737,HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon 520,Windows 10,2.1kg,489.0,https://www.pclaptops.com/uploads/sm5newsite643792114.png
738,Acer,Predator 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.2kg,1935.0,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
739,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,12GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.25kg,649.0,https://www.laptopoutlet.co.uk/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/4/5454_112.jpg
740,HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6GB,128GB SSD +  1TB HDD,AMD Radeon 520,Windows 10,2.1kg,650.0,https://www.notebook.hu/notebook.hu/default/cache/images/product/800_600/y/o/yoga260_1.jpg
741,Acer,Extensa EX2540-58KR,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.4kg,559.0,https://static-ecpa.acer.com/media/catalog/product/cache/7/small_image/300x/17f82f742ffe127f42dca9de82fb58b1/p/r/predator-helios300-ph317-51_main.png
742,Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.44kg,960.0,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05975535.png
743,Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.85kg,779.0,https://www.pclaptops.com/uploads/sm5newsite643792114.png
744,HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia Quadro M2200,Windows 10,2.6kg,2419.0,https://dustinweb.azureedge.net/image/249985/400/320/lenovo-legion-y520-gtx-1050-ti.jpg
745,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.55kg,659.0,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
746,MSI,GS63VR 7RF,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,1.8kg,2094.48,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05975535.png
747,Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.4kg,410.8,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05975535.png
748,Dell,Inspiron 7560,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.0kg,1207.0,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
749,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,2kg,665.0,https://static-ecpa.acer.com/media/catalog/product/cache/7/small_image/300x/17f82f742ffe127f42dca9de82fb58b1/p/r/predator-helios300-ph317-51_main.png
750,Toshiba,Tecra X40-D-10G,Notebook,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.25kg,1535.0,https://static-ecpa.acer.com/media/catalog/product/cache/7/small_image/300x/17f82f742ffe127f42dca9de82fb58b1/p/r/predator-helios300-ph317-51_main.png
751,Lenovo,Flex 5,2 in 1 Convertible,14.0,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.7kg,999.0,https://currys-ssl.cdn.dixons.com/css/themes/ucms/category/laptop/img/2018/Lenovo-3.png
752,Lenovo,Thinkpad P51s,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16GB,1TB SSD,Nvidia Quadro M520M,Windows 10,2.5kg,3299.0,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
753,Acer,Chromebook 14,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.68kg,330.0,http://lab-kuzniewski.pl/wp-content/uploads/2018/08/lenovo-laptop-thinkpad-x1-extreme-hero.png
754,Samsung,Notebook 9,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,0.81kg,1649.0,https://www.pclaptops.com/uploads/sm5newsite643792114.png
755,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.86kg,539.0,https://www.notebook.hu/notebook.hu/default/cache/images/product/800_600/y/o/yoga260_1.jpg
757,Dell,Latitude 5480,Notebook,14.0,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg,1126.71,https://www.notebook.hu/notebook.hu/default/cache/images/product/800_600/y/o/yoga260_1.jpg
758,HP,Zbook 17,Workstation,17.3,IPS Panel Full HD 1920x1080,Intel Xeon E3-1535M v5 2.9GHz,16GB,256GB SSD,Nvidia Quadro M2000M,Windows 7,3kg,4389.0,http://lab-kuzniewski.pl/wp-content/uploads/2018/08/lenovo-laptop-thinkpad-x1-extreme-hero.png
759,Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,Intel HD Graphics 400,Windows 10,1.4kg,475.0,https://static-ecpa.acer.com/media/catalog/product/cache/7/small_image/300x/17f82f742ffe127f42dca9de82fb58b1/p/r/predator-helios300-ph317-51_main.png
760,HP,EliteBook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.84kg,1900.0,https://static-ecpa.acer.com/media/catalog/product/cache/7/small_image/300x/17f82f742ffe127f42dca9de82fb58b1/p/r/predator-helios300-ph317-51_main.png
761,Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 6300HQ 2.3GHz,4GB,1TB HDD,Nvidia GeForce GTX 950M,No OS,2.45kg,579.0,https://www.pclaptops.com/uploads/sm5newsite643792114.png
762,Lenovo,Thinkpad T460,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,180GB SSD,Intel HD Graphics 520,Windows 10,1.7kg,1096.0,https://www.pclaptops.com/uploads/sm5newsite643792114.png
763,Asus,Pro P2540UA-XO0192R,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.37kg,849.9,https://www.pclaptops.com/uploads/sm5newsite643792114.png
764,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i5 6260U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 540,Windows 10,1.3kg,1199.0,https://currys-ssl.cdn.dixons.com/css/themes/ucms/category/laptop/img/2018/Lenovo-3.png
765,HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,1099.0,https://www.laptopoutlet.co.uk/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/4/5454_112.jpg
766,HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD,Nvidia Quadro M1000M,Windows 7,2.59kg,1561.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
767,Dell,Alienware 17,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg,2868.99,https://www.laptopoutlet.co.uk/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/4/5454_112.jpg
768,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.1kg,599.0,https://www.notebook.hu/notebook.hu/default/cache/images/product/800_600/y/o/yoga260_1.jpg
769,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,1048.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
770,Dell,Latitude 7280,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.18kg,1859.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
771,Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,Chrome OS,1.1kg,1559.0,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05975535.png
772,Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.2kg,1129.0,http://lab-kuzniewski.pl/wp-content/uploads/2018/08/lenovo-laptop-thinkpad-x1-extreme-hero.png
773,Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,1.65kg,849.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
774,Acer,TravelMate P238-M,Notebook,13.3,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.6kg,655.0,https://currys-ssl.cdn.dixons.com/css/themes/ucms/category/laptop/img/2018/Lenovo-3.png
775,Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8kg,470.34,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
776,Dell,Inspiron 7559,Gaming,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.72kg,1099.0,https://currys-ssl.cdn.dixons.com/css/themes/ucms/category/laptop/img/2018/Lenovo-3.png
777,Samsung,Notebook 9,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.31kg,1599.0,https://currys-ssl.cdn.dixons.com/css/themes/ucms/category/laptop/img/2018/Lenovo-3.png
778,Acer,Aspire A315-31,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,Linux,2.1kg,298.0,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05975535.png
779,Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon R7 M445,Windows 10,2.3kg,1181.27,https://www.notebookcheck.net/uploads/tx_jppageteaser/Toshiba_updates_the_Satellite_P_Series_with_Haswell_processors_and_NVIDIA_discrete_graphics_01.jpg
780,Samsung,Notebook 9,2 in 1 Convertible,15.0,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon 540,Windows 10,1.71kg,1799.0,https://www.notebookcheck.net/uploads/tx_jppageteaser/Toshiba_updates_the_Satellite_P_Series_with_Haswell_processors_and_NVIDIA_discrete_graphics_01.jpg
781,Toshiba,Tecra A40-C-1E5,Notebook,14.0,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.75kg,1020.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
782,Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,1099.0,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
783,HP,EliteBook 820,Ultrabook,12.5,1366x768,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.26kg,1244.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
784,Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,2TB HDD,Nvidia GeForce 940MX,Windows 10,2.3kg,839.0,https://dustinweb.azureedge.net/image/249985/400/320/lenovo-legion-y520-gtx-1050-ti.jpg
785,Lenovo,Thinkpad P50,Notebook,15.6,4K Ultra HD 3840x2160,Intel Core i7 6820HQ 2.7GHz,16GB,512GB SSD,Nvidia Quadro M2000M,Windows 7,2.5kg,2370.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
786,Acer,Swift 3,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.8kg,636.0,https://www.pclaptops.com/uploads/sm5newsite643792114.png
787,Razer,Blade Pro,Gaming,14.0,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,2899.0,https://currys-ssl.cdn.dixons.com/css/themes/ucms/category/laptop/img/2018/Lenovo-3.png
788,Asus,Vivobook Max,Notebook,15.6,1920x1080,Intel Pentium Dual Core N4200 1.1GHz,8GB,128GB SSD,Intel HD Graphics 505,Windows 10,2kg,581.9,https://www.notebook.hu/notebook.hu/default/cache/images/product/800_600/y/o/yoga260_1.jpg
789,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M,Windows 10,4.42kg,3588.8,https://www.notebookcheck.net/uploads/tx_jppageteaser/Toshiba_updates_the_Satellite_P_Series_with_Haswell_processors_and_NVIDIA_discrete_graphics_01.jpg
790,Asus,Rog G752VS-BA171T,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.3kg,2350.0,https://www.laptopoutlet.co.uk/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/4/5454_112.jpg
791,Toshiba,Tecra Z40-C-161,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Nvidia GeForce 930M,Windows 10,1.47kg,1764.0,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
792,Lenovo,IdeaPad 110-15IBR,Notebook,15.6,1366x768,Intel Celeron Quad Core N3710 1.6GHz,8GB,1TB HDD,Intel HD Graphics 405,No OS,2.2kg,329.0,https://cf5.s3.souqcdn.com/item/2018/01/24/30/11/18/52/item_XL_30111852_93853569.jpg
793,Lenovo,ThinkPad T470s,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.7kg,2299.0,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
794,MSI,GS43VR 7RE,Gaming,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,1.6kg,1891.0,https://www.jbhifi.com.au/FileLibrary/ProductResources/Images/255878-L-LO.jpg
795,MSI,GL62M (i5-7300HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,1089.0,http://lab-kuzniewski.pl/wp-content/uploads/2018/08/lenovo-laptop-thinkpad-x1-extreme-hero.png
796,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,4GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.4kg,999.0,https://currys-ssl.cdn.dixons.com/css/themes/ucms/category/laptop/img/2018/Lenovo-3.png
797,Acer,Predator G9-793,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.2kg,2299.0,https://www.notebook.hu/notebook.hu/default/cache/images/product/800_600/y/o/yoga260_1.jpg
798,Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,985.0,http://lab-kuzniewski.pl/wp-content/uploads/2018/08/lenovo-laptop-thinkpad-x1-extreme-hero.png
799,Asus,FX502VM-DM560T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX1060,Windows 10,2.24kg,1339.0,https://www.pclaptops.com/uploads/sm5newsite643792114.png
800,Vero,K146 (N3350/4GB/32GB/W10),Notebook,14.0,1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.22kg,202.9,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05975535.png
801,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.37kg,1970.0,https://www.laptopoutlet.co.uk/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/4/5454_112.jpg
